كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,مقطع ارائه درس,نوع ارائه,سطح ارائه,حداقل ظرفيت,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمانبندي تشکيل کلاس,زمان امتحان,استاد,ساير اساتيد,مكان برگزاري,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
6017207053,نرم افزار گرافیکی ترسیمی,نظري_عملي,1,1,4402,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,سه شنبه  از 14:30 تا 17:00,1403/10/08 از 08:00 تا 09:30,مریم شه منش,,دانشکده مهارتی و کارآفرینی-کامپیوتر4,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207048,طراحی طبیعت و طبیعت بی جان,آزمايشگاهي,0,2,4401,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,چهارشنبه  از 07:30 تا 11:00,1403/10/01 از 08:00 تا 09:30,غزال امیدوار,,دانشکده مهارتی و کارآفرینی-آتلیه نقاشی1,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55004,زبان انگلیسی  (پیش نیاز دانشگاهی),نظري,2,0,58201,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,5,,يكشنبه  از 09:15 تا 11:00,1403/10/13 از 13:30 تا 15:30,,,,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55004,زبان انگلیسی  (پیش نیاز دانشگاهی),نظري,2,0,85201,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,5,,يكشنبه  از 07:30 تا 09:15,1403/10/13 از 13:30 تا 15:30,,,,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55004,زبان انگلیسی  (پیش نیاز دانشگاهی),نظري,2,0,10258,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,5,,چهارشنبه  از 14:30 تا 16:15,1403/10/13 از 13:30 تا 15:30,,,,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5746156275,کارآفرینی,نظري_عملي,2,1,2245,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,7,,يكشنبه  از 10:00 تا 12:30,1403/10/16 از 10:30 تا 12:00,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5903131569,زمین‌ شناسی‌ کاربردی‌,نظري,2,0,200-5,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,شنبه  از 13:30 تا 15:30,1403/10/18 از 13:30 تا 15:00,محمد شعبانی,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي عمران(7116322),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000004954,مبانی کامپیوتر و برنامه نویسی پیش,نظري,2,0,200-36,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 07:30 تا 10:00,1403/05/10 از 08:00 تا 09:00,امین اسکندری,,,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55194,ریاضی پیش دانشگاهی,نظري,2,0,200-35,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 09:15 تا 11:00,1403/10/09 از 10:30 تا 12:00,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206936,کنترل‌های داخلی,نظري_عملي,1,1,200-34,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,شنبه  از 17:30 تا 19:15,1403/10/15 از 13:30 تا 15:30,حمیدرضا زارعی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206937,نرم افزارهای کاربردی در حسابداری,كارگاهي,1,1,200-33,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,شنبه  از 09:30 تا 11:30,1403/10/15 از 10:30 تا 13:30,سید محمد رضا پیرمرادیان,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55145,آشنایی با تاریخ هنر,نظري,2,0,4422,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,سه شنبه  از 10:00 تا 12:30,1403/10/18 از 10:30 تا 12:00,,,,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206947,حسابداری مالی 2,نظري_عملي,2,1,200-32,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,چهارشنبه  از 14:30 تا 17:30,1403/10/12 از 08:00 تا 10:30,زهرا سالاری,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004143197,مالی 1,نظري_عملي,2,1,200-31,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,دوشنبه  از 07:30 تا 10:30,1403/10/10 از 13:30 تا 15:30,سعید گلستانی,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004143215,مالیاتی 2,نظري_عملي,1,1,200-30,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,سه شنبه  از 09:30 تا 11:30,1403/10/09 از 13:30 تا 15:30,ملیحه حیدری جونی,,دانشکده مهارتی و کارآفرینی-101,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004159623,کارگاه حسابداری,كارگاهي,0,2,200-29,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,دوشنبه  از 17:30 تا 19:15,1403/10/05 از 08:00 تا 10:00,زهرا برزگر,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004206942,حسابداری امور بانکی,نظري_عملي,1,1,100-28,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,چهارشنبه  از 09:30 تا 11:30,1403/05/10 از 08:00 تا 09:00,سیده طیبه سجادیان,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
