کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
99083,انس با قرآن کریم,نظري,1,0,163811002,,شنبه از 11:00 تا 11:45 شنبه از از ...,مليحه ساساني,,28,,1404/10/14 از 16:30 تا 17:30,علوم انسانی-317,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99083,انس با قرآن کریم,نظري,1,0,163811001,,شنبه از 09:15 تا 11:00,مليحه ساساني,,28,,1404/10/14 از 16:30 تا 17:30,علوم انسانی-317,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904110,برادران,شنبه از 07:30 تا 09:15,اسفندیار احمدی,,45,,1404/10/19 از 16:30 تا 18:00,مهندسی یک-319,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061009,برادران,چهارشنبه از 16:45 تا 18:30,عباس عرفانی فر,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی دو-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061008,خواهران,چهارشنبه از 15:00 تا 16:45,عباس عرفانی فر,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی دو-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061007,خواهران,چهارشنبه از 13:15 تا 15:00,عباس عرفانی فر,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی دو-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896106,خواهران,چهارشنبه از 11:00 تا 11:45 چهارشنبه از ...,محمدعلی کوثری,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896105,خواهران,چهارشنبه از 09:15 تا 11:00,محمدعلی کوثری,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896104,برادران,چهارشنبه از 07:30 تا 09:15,محمدعلی کوثری,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1639088104,خواهران,سه شنبه از 13:15 تا 15:00,بهرام اسماعیلی,,55,,1404/10/21 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
